date,average_price,total_volume,4046,4225,4770,total_bags,small_bags,large_bags,xlarge_bags,type,year,geography
2018-03-25,1.04,624645.42,281209.4,33187.58,1831.33,308417.11,227944.75,77406.46,3065.9,conventional,2018,Atlanta
2018-03-25,1.56,18717.08,469.23,3942.82,0.0,14305.03,9398.45,4906.58,0.0,organic,2018,Atlanta
2018-03-25,1.23,986038.75,108250.52,591934.75,4205.03,281648.45,277508.08,2777.04,1363.33,conventional,2018,Baltimore/Washington
2018-03-25,1.33,57606.42,2002.4,5548.18,82.68,49973.16,49957.61,15.55,0.0,organic,2018,Baltimore/Washington
2018-03-25,1.28,85839.98,40361.51,2026.94,9200.23,34251.3,24809.18,9434.29,7.83,conventional,2018,Boise
2018-03-25,1.81,3119.2,76.12,1006.43,0.0,2036.65,618.64,1418.01,0.0,organic,2018,Boise
2018-03-25,1.39,641462.43,26019.52,479186.12,1883.17,134373.62,109938.39,22955.23,1480.0,conventional,2018,Boston
2018-03-25,1.74,38441.23,27.25,2031.54,0.0,36382.44,29466.95,6915.49,0.0,organic,2018,Boston
2018-03-25,1.21,163592.4,18266.89,82910.91,80.6,62334.0,20541.67,41090.1,702.23,conventional,2018,Buffalo/Rochester
2018-03-25,1.03,38203.98,241.71,425.31,0.0,37536.96,25743.24,11793.72,0.0,organic,2018,Buffalo/Rochester
2018-03-25,1.04,6687009.44,1932162.02,2715163.6,92955.04,1946728.78,1827362.5,37434.21,81932.07,conventional,2018,California
2018-03-25,1.7,190257.38,29644.09,70982.1,0.0,89631.19,89424.11,207.08,0.0,organic,2018,California
2018-03-25,1.32,258547.55,68088.95,87220.18,5567.45,97670.97,92743.21,4926.65,1.11,conventional,2018,Charlotte
2018-03-25,1.77,12030.96,17.85,5964.29,161.23,5887.59,5792.37,95.22,0.0,organic,2018,Charlotte
2018-03-25,1.36,908202.13,142681.06,463136.28,174975.75,127409.04,103579.41,22467.04,1362.59,conventional,2018,Chicago
2018-03-25,1.69,35088.36,324.87,27550.29,0.0,7213.2,7176.54,36.66,0.0,organic,2018,Chicago
2018-03-25,1.08,277267.97,70493.35,27183.18,9616.52,169974.92,140702.4,20939.89,8332.63,conventional,2018,Cincinnati/Dayton
2018-03-25,1.66,15502.38,728.9,4308.74,0.0,10464.74,7398.87,3065.87,0.0,organic,2018,Cincinnati/Dayton
2018-03-25,0.96,264778.18,77671.02,21732.24,3272.61,162102.31,133163.77,28160.04,778.5,conventional,2018,Columbus
2018-03-25,1.31,11125.08,533.97,1113.33,0.0,9477.78,7760.23,1717.55,0.0,organic,2018,Columbus
2018-03-25,0.73,1803351.21,788734.28,219585.81,6423.31,788607.81,673212.32,94356.41,21039.08,conventional,2018,Dallas/Ft. Worth
2018-03-25,1.46,31489.27,5372.35,1047.92,0.0,25069.0,23054.17,2014.83,0.0,organic,2018,Dallas/Ft. Worth
2018-03-25,1.02,950483.37,176286.79,222958.27,16540.62,534697.69,121655.4,413042.29,0.0,conventional,2018,Denver
2018-03-25,1.6,24825.5,6516.4,685.92,44.09,17579.09,16514.58,1064.51,0.0,organic,2018,Denver
2018-03-25,1.15,477637.43,82568.15,72460.6,62078.52,260530.16,211303.55,21812.97,27413.64,conventional,2018,Detroit
2018-03-25,1.43,20507.49,687.46,2729.79,0.0,16887.0,13920.18,2966.82,0.0,organic,2018,Detroit
